asset,horizon,model,oos_start,oos_end,n_oos,rmse,r2_oos,r2_vs_sample_mean,dir_acc,rank_ic,dm_stat,dm_p_vs_rw,cw_stat,cw_p_vs_rw,cw_stat_vs_mean,cw_p_vs_mean,pt_stat,pt_p,sign_excess,sign_p,sharpe_phase_lo,sharpe_phase_hi,dsr,n_trials,sharpe_net,sharpe_lo,sharpe_hi,max_dd,psr,trades,cw_p_holm,cw_p_bh
ETH,1,buy_and_hold,,,,,,,,,,,,,,,,,,,,,,,0.7962434878857987,-0.011865746951862679,1.5952287073925864,-0.7935123166505247,0.9745038021801787,1,,
ETH,7,random_walk,2020-07-29,2026-07-10,2173.0,0.10727745042573686,0.005741426377430248,-0.0024001232994814714,,,,,,,1.6609106183637423,0.04836569967957938,,,,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0,,
ETH,7,historical_mean,2020-07-29,2026-07-10,2173.0,0.10758674570363701,0.0,-0.008188563712604457,0.5135757017947538,0.038997142692729705,0.3910628042571306,0.6957891695932195,0.8844130037133098,0.18823665291616853,,,,,,,0.7068659706420614,0.7638940305265799,0.564557377468036,6.0,0.7514496065570164,-0.03782930825518142,1.5472816090768864,-0.7935123166505245,0.9668652446861432,1,,
ETH,7,ar1,2020-07-29,2026-07-10,2173.0,0.10759710706789682,-0.00019262341524273197,-0.008382764436955403,0.5135757017947538,0.0337881865757779,0.4058391647469407,0.6849007555445596,0.8736160891012589,0.1911636806575745,-0.31295191978782405,0.6228414044997946,,,,,0.7068659706420614,0.7638940305265799,0.564557377468036,6.0,0.7514496065570164,-0.03782930825518142,1.5472816090768864,-0.7935123166505245,0.9668652446861432,1,,
ETH,7,ridge,2020-07-29,2026-07-10,2173.0,0.11236548902983909,-0.09080808999408396,-0.09974024153722483,0.47583985273815005,-0.04699379143134458,3.146237110635582,0.0016762638737177675,-0.791033716783711,0.7855378417734837,-1.6252833878930404,0.9479489052890682,-1.2745904067098746,0.26489513487408317,-0.03081367805403251,0.06196901549225387,-0.35426618146589567,-0.10797191226449893,0.008227965170354587,6.0,-0.29928575035749794,-1.0778619118334043,0.5114954178016197,-0.9791598301701672,0.23288486301116823,539,1.0,0.923386406314618
ETH,7,elastic_net,2020-07-29,2026-07-10,2173.0,0.11154392490294739,-0.07491544147135243,-0.08371745504950301,0.4786010124252186,-0.051944863649037144,2.97664288185942,0.0029464347804181623,-0.9826151066002986,0.8371015467124825,-1.7985630304344584,0.963956085104487,-1.2759758146253009,0.2415970595426771,-0.029252028143582853,0.04997501249375312,-0.4061606099047105,-0.07148084928187298,0.011936409858382614,6.0,-0.24193249720424126,-1.0171521952329028,0.5665312416345677,-0.9697506330102307,0.2777013031799975,448,1.0,0.923386406314618
ETH,7,gbm,2020-07-29,2026-07-10,2173.0,0.10826481176463737,-0.012644732659311098,-0.02093683857092521,0.5121951219512195,-0.041885872125863546,1.189884762802677,0.23422173328977033,0.5477492383661424,0.2919320489701085,-0.35743212960116105,0.6396158363626142,0.08758495108343627,0.4025659517276398,0.0012808324733387666,0.9355322338830585,0.4875766046701725,1.0489224260878856,0.5990568031288878,6.0,0.7875560414821333,-0.006670765097335301,1.5942490427627083,-0.8338133026870933,0.9729357975201863,251,1.0,0.4777069892238139
ETH,7,buy_and_hold,,,,,,,,,,,,,,,,,,,,,,,0.7514496065570164,-0.03782930825518142,1.5472816090768864,-0.7935123166505245,0.9668652446861432,1,,
SOL,1,random_walk,2021-10-31,2026-07-16,1720.0,0.04986314319817477,0.015273097350829157,-0.00013399364983013307,,,,,,,4.746684220549683,1.0338919697039373e-06,,,,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0,,
SOL,1,historical_mean,2021-10-31,2026-07-16,1720.0,0.05024834357973289,0.0,-0.015646054717516344,0.4808139534883721,-0.029377300506623686,3.0045268086663657,0.0026984019439621676,-1.230803775617215,0.8908018684533096,,,,,,,0.25269795491730995,0.25269795491730995,0.5650182933978921,6.0,0.25238342978340395,-0.6681765851867264,1.1780415696998712,-0.962724976899759,0.7080484260188481,1,,
